1429615630 11888998 INTC 5 4fb2d0d2 GEN1 000014af 7 5 85061
1429615627 10768413 INTC 28 36fd2d0f MaOS 00002208 14 14 209734374
1429615616 10482937 INTC 66 d1a2f06a TOK2 00000a7a 3 3 859
1429615626 11224757 INTC 14 ce8e224b TOK2 00007c38 8 3 1504
1429615625 11091209 INTC 85 193db70e GEN3 00001a82 10 8 38759
1429615615 10644427 INTC 77 d1a2f06a RESZ 00004367 2 1 289999
1429615629 11055240 INTC 97 b3c2d60d GEN2 00003765 11 2 36249
1429615630 11689869 INTC 90 193db70e RESZ 00001c6a 7 7 288253
1429615625 11358599 INTC 96 b3c2d60d GEN1 000051a0 6 5 79227
1429615631 10635528 INTC 87 193db70e GEN5 0000510d 6 5 10428
1429615626 11888190 INTC 61 a34e62d7 GEN5 00003428 6 5 10371
1429615625 10691936 INTC 86 193db70e GEN4 000048c0 6 6 64736
1429615630 11754794 INTC 102 b3c2d60d RESY 000032d2 7 4 278379
1429615623 10731643 INTC 66 d1a2f06a TOK2 000001dc 7 3 273
1429615620 11166040 INTC 58 a34e62d7 GEN2 00004836 8 2 30403
1429615617 11337603 INTC 80 193db70e MaOS 00003a39 14 12 209734332
1429615618 11575536 INTC 43 6b8d1395 TEST 000038ef 2 1 23579
1429615629 11823556 INTC 76 d1a2f06a RESY 00001e5d 7 4 270623
1429615631 10933766 INTC 58 a34e62d7 GEN2 000014d3 11 11 35632
1429615617 10962639 INTC 59 a34e62d7 GEN3 0000338b 6 6 40901
1429615615 10871866 INTC 72 d1a2f06a GEN3 00005a4a 6 6 35857
1429615631 10002092 INTC 42 6b8d1395 TeOS 00002e61 42 33 40640767
1429615620 10715502 INTC 35 36fd2d0f GEN5 00001c8a 3 3 11564
1429615627 11601149 INTC 41 6b8d1395 MaOS 00004de6 15 14 209725772
1429615631 11182782 INTC 46 6b8d1395 GEN3 000031cd 11 11 38531
1429615632 10482937 INTC 27 36fd2d0f TOK2 00003c2b 11 3 1394
1429615625 11257543 INTC 34 36fd2d0f GEN4 000028f1 6 6 74397
1429615631 10888920 INTC 78 193db70e TOK1 0000212d 8 3 1291
1429615616 10145233 INTC 79 193db70e TOK2 0000618c 3 3 1759
1429615627 11822021 INTC 28 36fd2d0f MaOS 00003134 14 14 209721903
1429615053 10691936 INTC 71 d1a2f06a GEN2 00005102 2 2 35019
1429615070 10932913 INTC 103 b3c2d60d RESZ 00005110 12 9 278699
1429615067 11484016 INTC 13 ce8e224b TOK1 00005a02 11 3 513
1429615070 10484047 INTC 71 d1a2f06a GEN2 00005103 7 6 32586
1429615071 11056613 INTC 12 4fb2d0d2 RESZ 00000e03 12 9 294752
1429615067 11664699 INTC 51 6b8d1395 RESZ 00004b12 10 9 286113
1429615069 10388439 INTC 35 36fd2d0f GEN5 00004903 7 6 12219
1429615058 10806440 INTC 64 a34e62d7 RESZ 00004102 4 1 270819
1429615057 10546686 INTC 25 ce8e224b RESZ 00004512 4 1 273815
1429615063 10383648 INTC 94 b3c2d60d TeOS 00001811 35 33 40649103
1429615070 11055240 INTC 67 d1a2f06a MaOS 00001c03 21 21 209743492
1429615064 10388439 INTC 52 a34e62d7 TOK1 00001e01 8 3 1202
1429615064 11648166 INTC 34 36fd2d0f GEN4 00000a12 7 7 79547
1429615061 11895512 INTC 96 b3c2d60d GEN1 00001910 8 8 74892
1429615065 11805258 INTC 7 4fb2d0d2 GEN3 00000010 8 7 57214
1429615062 10231320 INTC 30 36fd2d0f TEST 00004101 6 1 27222
1429615055 10592850 INTC 44 6b8d1395 GEN1 00004e02 7 5 77703
1429615063 11888190 INTC 79 193db70e TOK2 00005900 5 5 329
1429615064 10871866 INTC 95 b3c2d60d TEST 00001012 7 1 30590
1429615055 10257565 INTC 3 4fb2d0d2 TeOS 00004403 34 33 40658516
1429615055 10253099 INTC 67 d1a2f06a MaOS 00004a01 12 12 209747151
1429615059 10519407 INTC 73 d1a2f06a GEN4 00004803 6 4 73405
1429615059 11759977 INTC 3 4fb2d0d2 TeOS 00005500 34 33 40644089
1429615064 11182782 INTC 21 ce8e224b GEN4 00000e00 7 7 59488
1429615060 10771180 INTC 67 d1a2f06a MaOS 00000110 17 17 209715886
1429615064 11823556 INTC 89 193db70e RESY 00004402 6 5 262304
1429615064 11519745 INTC 57 a34e62d7 GEN1 00001601 10 8 78067
1429615065 10488795 INTC 20 ce8e224b GEN3 00005911 8 7 54749
1429615067 10416199 INTC 64 a34e62d7 RESZ 00001102 11 9 265762
1429615066 10626511 INTC 84 193db70e GEN2 00001000 5 4 19653
